SSID,BSSID,Protocol
'eduroam',1c:e6:c7:3e:5a:8f,802.11n
'eduroam',1c:e6:c7:5b:21:70,802.11n
'eduroam',1c:e6:c7:5b:21:77,802.11ac
'eduroam',1c:e6:c7:5b:21:7f,802.11n
'eduroam',40:ce:24:9c:96:0f,802.11ac
'eduroam',a8:9d:21:71:b2:50,802.11n
'eduroam',a8:9d:21:71:b2:5f,802.11ac
'eduroam',d0:72:dc:04:b9:00,802.11n
'eduroam',d4:c9:3c:77:9a:50,802.11n
'eduroam',d4:c9:3c:77:9a:5f,802.11ac
'Global_Students',08:cc:68:b4:5b:2d,802.11ac
'Global_Students',08:cc:68:b4:81:2d,802.11ac
'Global_Students',08:cc:68:b5:bd:f2,802.11n
'Global_Students',08:cc:68:b5:c1:6b,802.11ac
'Global_Students',08:cc:68:b5:c5:ab,802.11ac
'Global_Students',08:cc:68:b5:db:9d,802.11ac
'Global_Students',1c:e6:c7:5b:21:72,802.11n
'Global_Students',1c:e6:c7:5b:21:75,802.11ac
'Global_Students',1c:e6:c7:5b:21:7d,802.11n
'Global_Students',1c:e6:c7:5b:22:02,802.11n
'Global_Students',a8:9d:21:71:b2:5b,802.11ac
'Global_Students',d0:72:dc:04:b9:04,802.11n
'Global_Students',d4:c9:3c:77:9a:54,802.11n
'Global_Students',d4:c9:3c:77:9a:5b,802.11ac
'MEREAVIE_CONTROL',7c:10:c9:02:f3:12,802.11ax
'Optus_53A4BF',48:d2:4f:53:a4:c1,802.11n
'uniwide',00:ea:bd:db:d2:41,802.11n
'uniwide',08:cc:68:b4:81:2e,802.11ac
'uniwide',08:cc:68:b4:97:8a,802.11ac
'uniwide',08:cc:68:b4:af:aa,802.11ac
'uniwide',08:cc:68:b4:bb:2e,802.11ac
'uniwide',08:cc:68:b5:bd:f1,802.11n
'uniwide',08:cc:68:b5:c1:61,802.11n
'uniwide',1c:e6:c7:3e:5a:8e,802.11n
'uniwide',1c:e6:c7:5b:21:76,802.11ac
'uniwide',1c:e6:c7:5b:21:7e,802.11n
'uniwide',1c:e6:c7:5b:22:01,802.11n
'uniwide',40:ce:24:9c:96:0e,802.11ac
'uniwide',a8:9d:21:71:b2:51,802.11n
'uniwide',a8:9d:21:71:b2:5e,802.11ac
'uniwide',d0:72:dc:04:b9:01,802.11n
'uniwide',d4:c9:3c:77:9a:51,802.11n
'uniwide',d4:c9:3c:77:9a:5e,802.11ac
'UNSW Guest',00:ea:bd:db:d2:43,802.11n
'UNSW Guest',08:cc:68:b4:db:13,802.11n
'UNSW Guest',08:cc:68:b5:35:c3,802.11n
'UNSW Guest',08:cc:68:b5:c1:6c,802.11ac
'UNSW Guest',08:cc:68:b5:c5:ac,802.11ac
'UNSW Guest',08:cc:68:b5:c6:ac,802.11ac
'UNSW Guest',1c:e6:c7:3e:5a:8c,802.11n
'UNSW Guest',1c:e6:c7:5b:21:6c,802.11n
'UNSW Guest',1c:e6:c7:5b:21:74,802.11ac
'UNSW Guest',1c:e6:c7:5b:21:7c,802.11n
'UNSW Guest',1c:e6:c7:5b:22:03,802.11n
'UNSW Guest',1c:e6:c7:5b:22:0c,802.11n
'UNSW Guest',a8:9d:21:71:ae:33,802.11n
'UNSW Guest',a8:9d:21:71:b2:5c,802.11ac
'UNSW Guest',d0:72:dc:04:b9:03,802.11n
'UNSW Guest',d4:c9:3c:77:9a:53,802.11n
'UNSW Guest',d4:c9:3c:77:9a:5c,802.11ac
'vivo X90 Pro+',3e:ad:d7:ce:15:8f,802.11ax
<HIDDEN>,08:cc:68:b4:5a:fd,802.11ac
<HIDDEN>,08:cc:68:b4:63:4a,802.11ac
<HIDDEN>,08:cc:68:b4:63:4d,802.11ac
<HIDDEN>,08:cc:68:b4:7d:bf,802.11ac
<HIDDEN>,08:cc:68:b4:86:50,802.11n
<HIDDEN>,08:cc:68:b4:8c:12,802.11n
<HIDDEN>,08:cc:68:b4:8c:15,802.11n
<HIDDEN>,08:cc:68:b4:8c:1a,802.11ac
<HIDDEN>,08:cc:68:b4:8c:1d,802.11ac
<HIDDEN>,08:cc:68:b4:8c:42,802.11n
<HIDDEN>,08:cc:68:b4:8c:45,802.11n
<HIDDEN>,08:cc:68:b4:8c:4a,802.11ac
<HIDDEN>,08:cc:68:b4:8c:4d,802.11ac
<HIDDEN>,08:cc:68:b4:8c:fb,802.11ac
<HIDDEN>,08:cc:68:b4:8c:ff,802.11ac
<HIDDEN>,08:cc:68:b4:8f:d2,802.11n
<HIDDEN>,08:cc:68:b4:8f:d5,802.11n
<HIDDEN>,08:cc:68:b4:8f:da,802.11ac
<HIDDEN>,08:cc:68:b4:8f:dd,802.11ac
<HIDDEN>,08:cc:68:b4:be:0b,802.11ac
<HIDDEN>,08:cc:68:b4:be:0f,802.11ac
<HIDDEN>,08:cc:68:b4:db:1a,802.11ac
<HIDDEN>,08:cc:68:b5:86:85,802.11n
<HIDDEN>,08:cc:68:b5:86:8a,802.11ac
<HIDDEN>,08:cc:68:b5:86:8d,802.11ac
<HIDDEN>,08:cc:68:b5:8d:f4,802.11n
<HIDDEN>,08:cc:68:b5:f7:bb,802.11ac
<HIDDEN>,1c:e6:c7:e0:26:42,802.11ac
<HIDDEN>,1c:e6:c7:e0:26:45,802.11ac
<HIDDEN>,1c:e6:c7:e0:26:4d,802.11n
<HIDDEN>,84:78:ac:c0:1f:5a,802.11n
<HIDDEN>,8c:85:80:de:2d:cf,802.11n
<HIDDEN>,a8:9d:21:71:ae:35,802.11n
<HIDDEN>,a8:9d:21:71:ae:3a,802.11ac
<HIDDEN>,a8:9d:21:71:ae:3d,802.11ac
<HIDDEN>,d0:72:dc:04:b9:05,802.11n
'ASUS_66U',a8:5e:45:9a:d9:90,802.11n
'ASUS_66U_5G',a8:5e:45:9a:d9:94,802.11ac
'DIRECT-36-AIRMEDIA',1c:bf:ce:d7:f7:da,802.11n
'DIRECT-FUDESKTOP-7K16P3VmsPT',de:21:5c:ef:7a:86,802.11ac
'eduroam',00:ee:ab:38:99:2f,802.11ac
'eduroam',08:cc:68:b4:56:ee,802.11ac
'eduroam',08:cc:68:b4:63:40,802.11n
'eduroam',08:cc:68:b4:63:4f,802.11ac
'eduroam',08:cc:68:b4:7d:b1,802.11n
'eduroam',08:cc:68:b4:7e:e1,802.11n
'eduroam',08:cc:68:b4:7e:ee,802.11ac
'eduroam',08:cc:68:b4:8c:10,802.11n
'eduroam',08:cc:68:b4:8c:1f,802.11ac
'eduroam',08:cc:68:b4:8c:40,802.11n
'eduroam',08:cc:68:b4:8c:4f,802.11ac
'eduroam',08:cc:68:b4:8c:fe,802.11ac
'eduroam',08:cc:68:b4:8f:d0,802.11n
'eduroam',08:cc:68:b4:8f:df,802.11ac
'eduroam',08:cc:68:b4:a4:1e,802.11ac
'eduroam',08:cc:68:b4:db:1f,802.11ac
'eduroam',08:cc:68:b4:e4:7e,802.11ac
'eduroam',08:cc:68:b5:86:80,802.11n
'eduroam',08:cc:68:b5:86:8f,802.11ac
'eduroam',08:cc:68:b5:9a:4e,802.11ac
'eduroam',1c:e6:c7:e0:26:17,802.11ac
'eduroam',1c:e6:c7:e0:26:1f,802.11n
'eduroam',1c:e6:c7:e0:26:47,802.11ac
'eduroam',24:16:9d:23:f0:cf,802.11ac
'eduroam',70:70:8b:04:58:be,802.11ac
'eduroam',84:78:ac:c0:1f:5f,802.11n
'eduroam',a8:9d:21:71:ae:30,802.11n
'eduroam',a8:9d:21:71:ae:3f,802.11ac
'gj 的 S23',1a:62:02:07:fe:2f,802.11ac
'Global_Students',00:ee:ab:38:99:2b,802.11ac
'Global_Students',08:cc:68:b4:63:44,802.11n
'Global_Students',08:cc:68:b4:63:4b,802.11ac
'Global_Students',08:cc:68:b4:8c:14,802.11n
'Global_Students',08:cc:68:b4:8c:1b,802.11ac
'Global_Students',08:cc:68:b4:8c:4b,802.11ac
'Global_Students',08:cc:68:b4:8f:db,802.11ac
'Global_Students',08:cc:68:b5:86:84,802.11n
'Global_Students',08:cc:68:b5:86:8b,802.11ac
'Global_Students',08:cc:68:b5:f7:3d,802.11ac
'Global_Students',1c:e6:c7:e0:26:13,802.11ac
'Global_Students',1c:e6:c7:e0:26:43,802.11ac
'Global_Students',1c:e6:c7:e0:26:4b,802.11n
'Global_Students',24:16:9d:23:f0:cb,802.11ac
'Global_Students',a8:9d:21:71:ae:34,802.11n
'Global_Students',a8:9d:21:71:ae:3b,802.11ac
'HYLab',b8:27:eb:ce:49:09,802.11n
'InnovationCentralSydney',e6:55:88:41:d5:72,802.11ax
'MEREAVIE_CONTROL',7c:10:c9:02:f2:d1,802.11ax
'MEREAVIE_CONTROL',7c:10:c9:02:f3:15,802.11ax
'MEREAVIE_POWER',7c:10:c9:02:f2:d0,802.11ax
'MEREAVIE_POWER',7c:10:c9:02:f3:11,802.11ax
'MEREAVIE_POWER',7c:10:c9:02:f3:14,802.11ax
'uniwide',04:62:73:ae:fd:31,802.11n
'uniwide',08:cc:68:b4:56:ef,802.11ac
'uniwide',08:cc:68:b4:63:41,802.11n
'uniwide',08:cc:68:b4:63:4e,802.11ac
'uniwide',08:cc:68:b4:7e:e5,802.11n
'uniwide',08:cc:68:b4:7e:ea,802.11ac
'uniwide',08:cc:68:b4:8c:11,802.11n
'uniwide',08:cc:68:b4:8c:1e,802.11ac
'uniwide',08:cc:68:b4:8c:4e,802.11ac
'uniwide',08:cc:68:b4:8c:fa,802.11ac
'uniwide',08:cc:68:b4:8f:d1,802.11n
'uniwide',08:cc:68:b4:a4:1a,802.11ac
'uniwide',08:cc:68:b4:b9:45,802.11n
'uniwide',08:cc:68:b4:be:0a,802.11ac
'uniwide',08:cc:68:b4:db:1e,802.11ac
'uniwide',08:cc:68:b5:86:81,802.11n
'uniwide',08:cc:68:b5:86:8e,802.11ac
'uniwide',08:cc:68:b5:db:9e,802.11ac
'uniwide',1c:e6:c7:e0:26:16,802.11ac
'uniwide',1c:e6:c7:e0:26:46,802.11ac
'uniwide',1c:e6:c7:e0:26:4e,802.11n
'uniwide',24:16:9d:23:f0:ce,802.11ac
'uniwide',a8:9d:21:71:ae:3e,802.11ac
'UNSW Guest',08:cc:68:b4:56:ec,802.11ac
'UNSW Guest',08:cc:68:b4:63:43,802.11n
'UNSW Guest',08:cc:68:b4:63:4c,802.11ac
'UNSW Guest',08:cc:68:b4:8c:13,802.11n
'UNSW Guest',08:cc:68:b4:8c:1c,802.11ac
'UNSW Guest',08:cc:68:b4:8c:4c,802.11ac
'UNSW Guest',08:cc:68:b4:8f:dc,802.11ac
'UNSW Guest',08:cc:68:b5:86:83,802.11n
'UNSW Guest',08:cc:68:b5:86:8c,802.11ac
'UNSW Guest',08:cc:68:b5:8d:bc,802.11ac
'UNSW Guest',08:cc:68:b5:92:2c,802.11ac
'UNSW Guest',1c:e6:c7:e0:26:14,802.11ac
'UNSW Guest',1c:e6:c7:e0:26:44,802.11ac
'UNSW Guest',24:16:9d:23:f0:cc,802.11ac
'UNSW Guest',a8:9d:21:71:ae:3c,802.11ac
<HIDDEN>,00:ee:ab:38:99:22,802.11n
<HIDDEN>,08:cc:68:b4:7d:b4,802.11n
<HIDDEN>,08:cc:68:b4:7d:bb,802.11ac
<HIDDEN>,08:cc:68:b4:7e:e4,802.11n
<HIDDEN>,08:cc:68:b5:9a:4f,802.11ac
<HIDDEN>,1c:e6:c7:e0:26:1d,802.11n
<HIDDEN>,a8:9d:21:71:ae:32,802.11n
'eduroam',08:cc:68:b5:f7:be,802.11ac
'InnovationCentralSydney',0e:7b:e8:e9:84:2e,802.11ax
'SECedu',68:ff:7b:19:97:d8,802.11n
'uniwide',00:ee:ab:38:99:2e,802.11ac
'uniwide',08:cc:68:b4:8f:de,802.11ac
'uniwide',08:cc:68:b5:9a:4a,802.11ac
'uniwide',a8:9d:21:71:ae:31,802.11n
<HIDDEN>,04:62:73:ae:fd:3a,802.11ac
<HIDDEN>,08:cc:68:b4:5a:fa,802.11ac
<HIDDEN>,08:cc:68:b4:64:0b,802.11ac
<HIDDEN>,08:cc:68:b4:64:0f,802.11ac
<HIDDEN>,08:cc:68:b4:6a:15,802.11n
<HIDDEN>,08:cc:68:b4:6a:1a,802.11ac
<HIDDEN>,08:cc:68:b4:7d:b0,802.11n
<HIDDEN>,08:cc:68:b4:84:1b,802.11ac
<HIDDEN>,08:cc:68:b4:84:1f,802.11ac
<HIDDEN>,08:cc:68:b4:86:54,802.11n
<HIDDEN>,08:cc:68:b4:86:5b,802.11ac
<HIDDEN>,08:cc:68:b4:86:5f,802.11ac
<HIDDEN>,08:cc:68:b4:8c:f4,802.11n
<HIDDEN>,08:cc:68:b4:98:50,802.11n
<HIDDEN>,08:cc:68:b4:98:54,802.11n
<HIDDEN>,08:cc:68:b5:cc:95,802.11n
<HIDDEN>,08:cc:68:b5:cc:9a,802.11ac
<HIDDEN>,08:cc:68:b5:cc:9d,802.11ac
<HIDDEN>,1c:e6:c7:e0:26:12,802.11n
<HIDDEN>,1c:e6:c7:e0:26:15,802.11n
<HIDDEN>,1c:e6:c7:e0:26:1a,802.11n
<HIDDEN>,1c:e6:c7:e0:26:7a,802.11n
<HIDDEN>,24:16:9d:23:f0:cd,802.11ac
<HIDDEN>,24:16:9d:23:fd:22,802.11n
<HIDDEN>,24:16:9d:23:fd:2a,802.11ac
<HIDDEN>,24:16:9d:23:fd:2d,802.11ac
<HIDDEN>,32:7b:e8:e9:84:2e,802.11ax
<HIDDEN>,4c:e1:76:f3:53:6d,802.11ac
<HIDDEN>,54:78:1a:bf:77:35,802.11ac
<HIDDEN>,58:97:1e:56:1e:8d,802.11n
<HIDDEN>,84:78:ac:c0:1f:52,802.11ac
<HIDDEN>,84:78:ac:c0:1f:55,802.11ac
<HIDDEN>,84:78:ac:c0:1f:5d,802.11n
<HIDDEN>,88:dc:96:03:47:70,802.11n
<HIDDEN>,da:55:88:41:d0:52,802.11ax
<HIDDEN>,da:55:88:41:d5:72,802.11ax
<HIDDEN>,da:55:a8:41:d3:92,802.11ac
<HIDDEN>,ee:8d:8a:41:c0:25,802.11ax
<HIDDEN>,f6:6c:9a:b9:6c:90,802.11ax
'Aviation_UNSW',34:12:98:06:f4:9e,802.11n
'Aviation_UNSW',34:12:98:06:f4:9f,802.11ac
'Blackvue900XPlus-E81334',00:25:42:e8:13:34,802.11ac
'eduroam',04:62:73:ae:fd:3f,802.11ac
'eduroam',08:cc:68:b4:5a:ff,802.11ac
'eduroam',08:cc:68:b4:64:0e,802.11ac
'eduroam',08:cc:68:b4:7d:be,802.11ac
'eduroam',08:cc:68:b4:84:91,802.11n
'eduroam',08:cc:68:b4:86:5e,802.11ac
'eduroam',08:cc:68:b5:cc:9f,802.11ac
'eduroam',1c:e6:c7:e0:26:7f,802.11n
'eduroam',1c:e6:c7:e0:26:b7,802.11ac
'eduroam',24:16:9d:23:fd:20,802.11n
