BSSID,Protocol
08:cc:68:b4:63:43,802.11n
08:cc:68:b4:63:4c,802.11ac
08:cc:68:b4:8c:13,802.11n
08:cc:68:b4:8c:1c,802.11ac
08:cc:68:b4:8c:4c,802.11ac
08:cc:68:b4:8f:dc,802.11ac
08:cc:68:b5:86:83,802.11n
08:cc:68:b5:86:8c,802.11ac
08:cc:68:b5:8d:bc,802.11ac
08:cc:68:b5:92:2c,802.11ac
1c:e6:c7:e0:26:14,802.11ac
1c:e6:c7:e0:26:44,802.11ac
24:16:9d:23:f0:cc,802.11ac
a8:9d:21:71:ae:3c,802.11ac
08:cc:68:b5:f7:be,802.11ac
0e:7b:e8:e9:84:2e,802.11ax
68:ff:7b:19:97:d8,802.11n
00:ee:ab:38:99:2e,802.11ac
08:cc:68:b4:8f:de,802.11ac
08:cc:68:b5:9a:4a,802.11ac
a8:9d:21:71:ae:31,802.11n
34:12:98:06:f4:9e,802.11n
34:12:98:06:f4:9f,802.11ac
00:25:42:e8:13:34,802.11ac
04:62:73:ae:fd:3f,802.11ac
08:cc:68:b4:5a:ff,802.11ac
08:cc:68:b4:64:0e,802.11ac
08:cc:68:b4:7d:be,802.11ac
08:cc:68:b4:84:91,802.11n
08:cc:68:b4:86:5e,802.11ac
08:cc:68:b5:cc:9f,802.11ac
1c:e6:c7:e0:26:7f,802.11n
1c:e6:c7:e0:26:b7,802.11ac
24:16:9d:23:fd:20,802.11n
24:16:9d:23:fd:2f,802.11ac
4c:e1:76:f3:53:6f,802.11ac
58:ac:78:89:ec:11,802.11n
58:ac:78:9b:0b:41,802.11n
84:78:ac:c0:1f:57,802.11ac
a8:9d:21:5f:4c:10,802.11n
a8:9d:21:5f:4c:1f,802.11ac
04:62:73:ae:fd:34,802.11n
04:62:73:ae:fd:3b,802.11ac
08:cc:68:b4:5a:fb,802.11ac
08:cc:68:b5:cc:94,802.11n
08:cc:68:b5:cc:9b,802.11ac
1c:e6:c7:e0:26:14,802.11n
1c:e6:c7:e0:26:1b,802.11n
24:16:9d:23:fd:24,802.11n
24:16:9d:23:fd:2b,802.11ac
24:16:9d:24:45:04,802.11n
4c:e1:76:f3:53:6b,802.11ac
54:78:1a:bf:77:33,802.11ac
54:78:1a:bf:77:3b,802.11n
84:78:ac:c0:1f:53,802.11ac
84:78:ac:c0:1f:5b,802.11n
a8:9d:21:5f:4c:14,802.11n
a8:9d:21:5f:4c:1b,802.11ac
e6:55:88:41:d0:52,802.11ax
14:02:ec:4c:2c:00,802.11ac
e4:55:a8:41:d3:92,802.11ac
7c:10:c9:02:f2:d5,802.11ax
7c:10:c9:02:f2:d4,802.11ax
dc:8d:8a:41:c0:25,802.11ax
dc:8d:8a:9e:f9:5d,802.11ax
ec:6c:9a:b9:6c:90,802.11ax
00:ee:ab:38:99:21,802.11n
04:62:73:ae:fd:3e,802.11ac
08:cc:68:b4:5a:f1,802.11n
08:cc:68:b4:5a:fe,802.11ac
08:cc:68:b4:64:0a,802.11ac
08:cc:68:b4:6a:1e,802.11ac
08:cc:68:b4:7d:b5,802.11n
08:cc:68:b4:7d:ba,802.11ac
08:cc:68:b4:86:55,802.11n
08:cc:68:b4:86:5a,802.11ac
08:cc:68:b4:98:55,802.11n
08:cc:68:b4:e4:75,802.11n
08:cc:68:b5:9a:45,802.11n
08:cc:68:b5:cc:91,802.11n
08:cc:68:b5:cc:9e,802.11ac
1c:e6:c7:e0:26:11,802.11n
1c:e6:c7:e0:26:76,802.11ac
1c:e6:c7:e0:26:7e,802.11n
1c:e6:c7:e0:26:b6,802.11ac
24:16:9d:23:fd:2e,802.11ac
24:16:9d:24:45:01,802.11n
4c:e1:76:f3:53:6e,802.11ac
54:78:1a:bf:77:36,802.11ac
54:78:1a:bf:77:3e,802.11n
58:ac:78:45:30:5f,802.11ac
84:78:ac:c0:1f:56,802.11ac
84:78:ac:c0:1f:5e,802.11n
a8:9d:21:5f:4c:1e,802.11ac
04:62:73:ae:fd:3c,802.11ac
08:cc:68:b4:5a:fc,802.11ac
08:cc:68:b5:cc:93,802.11n
08:cc:68:b5:cc:9c,802.11ac
1c:e6:c7:e0:26:1c,802.11n
1c:e6:c7:e0:26:43,802.11n
1c:e6:c7:e0:26:4c,802.11n
1c:e6:c7:e0:26:7c,802.11n
1c:e6:c7:e0:26:b4,802.11ac
24:16:9d:23:fd:23,802.11n
24:16:9d:23:fd:2c,802.11ac
24:16:9d:24:45:03,802.11n
4c:e1:76:f3:53:6c,802.11ac
54:78:1a:bf:77:34,802.11ac
